1	0
4	0
7	0
7	2
11	2
11	6
17	6
17	12
22	12
22	19
28	19
28	27
33	27
33	33
39	33
39	40
51	40
51	52
59	52
59	58
67	58
67	65
76	65
76	73
85	73
85	81
93	81
93	88
102	88
102	94
111	94
111	99
120	99
120	103
130	103
130	105
134	105
138	105
142	105
144	105
144	104
147	104
148	104
148	103
149	103
146	103
139	103
128	103
128	106
114	106
114	112
97	112
97	117
81	117
81	119
64	119
64	122
47	122
47	125
25	125
25	129
-6	129
-6	136
-40	136
-40	147
-72	147
-72	156
-106	156
-106	158
-138	158
-169	158
-189	158
-189	162
-184	162
-184	178
-209	178
-209	186
-251	186
-251	190
-292	190
-329	190
-372	190
-372	192
-415	192
-415	199
-455	199
-455	207
-498	207
-498	214
-538	214
-538	217
-578	217
-578	219
-620	219
-620	227
-663	227
-663	234
-704	234
-704	241
-745	241
-745	244
-788	244
-788	247
-830	247
-830	255
-870	255
-870	263
-912	263
-912	270
-954	270
-954	276
-994	276
-994	282
-1028	282
-1028	286
-1060	286
-1060	287
-1094	287
-1128	287
-1128	288
-1158	288
-1158	293
-1187	293
-1187	299
-1216	299
-1216	304
-1240	304
-1268	304
-1268	307
-1296	307
-1296	312
-1323	312
-1323	318
-1350	318
-1350	322
-1375	322
-1399	322
-1424	322
-1424	323
-1446	323
-1446	326
-1465	326
-1465	329
-1484	329
-1484	330
-1504	330
-1523	330
-1541	330
-1541	333
-1558	333
-1558	336
-1574	336
-1574	339
-1590	339
-1590	342
-1605	342
-1605	345
-1619	345
-1619	347
-1633	347
-1646	347
-1657	347
-1657	348
-1670	348
-1670	350
-1681	350
-1681	352
-1691	352
-1691	353
-1699	353
-1699	355
-1707	355
-1707	358
-1716	358
-1716	360
-1723	360
-1730	360
-1730	361
-1736	361
-1736	362
-1741	362
-1741	364
-1745	364
-1745	366
-1749	366
-1749	367
-1751	367
-1752	367
-1752	368
-1753	368
-1753	369
-1754	369
-1754	368
-1754	367
-1754	366
-1754	365
-1754	364
-1754	363
-1755	363
-1754	363
-1754	364
-1754	365
-1754	366
-1754	367
-1754	368
-1754	369
-1753	369
-1753	370
-1753	371
-1753	372
-1754	372
-1755	372
-1757	372
-1760	372
-1762	372
-1762	373
-1765	373
-1765	374
-1767	374
-1769	374
-1771	374
-1772	374
-1773	374
-1774	374
-1774	373
-1774	372
-1774	371
-1774	370
-1775	370
-1775	369
-1775	368
-1776	368
-1776	367
-1776	366
-1777	366
-1778	366
-1780	366
-1782	366
-1785	366
-1787	366
-1787	367
-1788	367
-1789	367
-1790	367
-1791	367
-1792	367
-1793	367
-1794	367
-1795	367
-1797	367
-1799	367
-1801	367
-1801	366
-1803	366
-1803	365
-1805	365
-1807	365
-1809	365
-1810	365
-1810	364
-1811	364
-1812	364
-1813	364
-1813	363
-1813	362
-1812	362
-1812	361
-1812	360
-1812	358
-1812	359
-1812	360
-1811	360
-1810	360
-1810	361
-1808	361
-1808	363
-1806	363
-1805	363
-1804	363
-1804	364
-1805	364
-1805	365
-1804	365
-1803	365
-1803	364
-1803	363
-1804	363
-1804	362
-1805	362
-1805	361
-1806	361
-1807	361
-1807	362
-1807	363
-1808	363
-1808	364
-1809	364
-1809	366
-1810	366
-1810	368
-1811	368
-1811	370
-1812	370
-1812	371
-1813	371
-1813	372
-1814	372
-1814	373
-1815	373
-1815	374
-1814	374
-1813	374
-1812	374
-1811	374
-1810	374
-1809	374
-1809	375
-1809	374
-1809	373
-1809	372
-1808	372
-1807	372
-1806	372
-1806	371
-1806	368
-1811	368
-1811	362
-1817	362
-1817	354
-1826	354
-1826	340
-1831	340
-1831	321
-1832	321
-1832	292
-1832	248
-1832	194
-1834	194
-1834	143
-1839	143
-1839	98
-1842	98
-1842	52
-1847	52
-1847	9
-1847	-36
-1851	-36
-1851	-77
-1855	-77
-1855	-124
-1861	-124
-1861	-173
-1870	-173
-1870	-213
-1870	-246
-1877	-246
